"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"1311444","","NEW","2013-03-08T19:36:57","U","PC","","N","Y","OFF","2013-04-03","2014-12-31","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Termination","FIXED","USD-LIBOR-BBA","Percent","0.42949","","0","USD","USD","250,000,000+","250,000,000+","6M","3M","","3M","","0","","","","0","","","Percent","0","","0"
"1311445","1299123","CANCEL","2013-03-08T14:05:00","U","","","N","Y","","2013-03-12","2016-02-16","30/360","USD","IR","","NA","Trade","FIXED","USD-LIBOR-BBA","Percent","0.55272","","0","USD","USD","100,000,000","100,000,000","6M","3M","","3M","","0","","","","0","","","Percent","0","","0"
"1311448","","NEW","2013-03-08T22:20:02","U","PC","","N","Y","OFF","2013-02-04","2017-01-02","BUS/252","BRL","IR","","InterestRate:IRSwap:FixedFloat","Trade","FIXED","BRL-CDI","Percent","8.72","USD","4,911.24643","BRL","BRL","1,000,000","1,000,000","1T","1T","","1D","","0","","","","0","","","Percent","0","","0"
"1311449","","NEW","2013-03-08T19:36:55","U","PC","","N","Y","OFF","2013-04-03","2014-12-31","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Termination","FIXED","USD-LIBOR-BBA","Percent","0.42824","USD","390,842.61838","USD","USD","250,000,000+","250,000,000+","6M","3M","","3M","","0","","","","0","","","Percent","0","","0"
"1311450","","NEW","2013-03-08T23:10:57","C","","","N","Y","OFF","2013-03-12","2043-03-12","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Trade","USD-LIBOR-BBA","FIXED","Percent","3.114","","0","USD","USD","8,000,000","8,000,000","3M","6M","3M","","","0","","","","0","","","Percent","0","","0"
"1311451","1260490","CANCEL","2013-03-06T15:55:16","U","","","N","Y","OFF","2013-03-28","2017-09-28","","","IR","","InterestRate:Exotic","Trade","","","Embedded","0","","0","USD","","15,000,000","0","","","","","","0","","","","0","","","","0","","0"
"1311452","1260490","CORRECT","2013-03-08T15:55:16","U","","","N","Y","OFF","2013-03-28","2017-09-28","","","IR","","InterestRate:Exotic","Trade","","","Embedded","0","","0","USD","","15,000,000","0","","","","","","0","","","","0","","","","0","","0"
"1311453","1300229","CANCEL","2013-03-08T14:56:50","U","","","N","Y","","2013-03-12","2023-03-13","30/360","USD","IR","","NA","Trade","FIXED","USD-LIBOR-BBA","Percent","2.14","","0","USD","USD","4,000,000","4,000,000","6M","6M","","3M","","0","","","","0","","","Percent","0","","0"
"1311455","1300234","CANCEL","2013-03-08T14:56:49","U","","","N","Y","","2013-03-12","2023-03-13","30/360","USD","IR","","NA","Trade","FIXED","USD-LIBOR-BBA","Percent","2.14","","0","USD","USD","4,000,000","4,000,000","6M","6M","","3M","","0","","","","0","","","Percent","0","","0"
"1311456","","NEW","2013-03-08T19:36:31","U","UC","","N","Y","OFF","2013-04-03","2017-05-31","30/360","USD","IR","","InterestRate:IRSwap:FixedFloat","Termination","FIXED","USD-LIBOR-BBA","Percent","0.69782","USD","246,006.38978","USD","USD","100,000,000+","100,000,000+","6M","3M","","3M","","0","","","","0","","","Percent","0","","0"
"1311457","","NEW","2013-03-08T23:13:41","U","UC","","N","Y","OFF","2013-02-22","2043-02-22","30/360","EUR","IR","","InterestRate:IRSwap:FixedFloat","Termination","EUR-EURIBOR-Reuters","FIXED","Percent","2.5445","","0","EUR","EUR","1,000,000","1,000,000","6M","1Y","6M","","","0","","","","0","","","Percent","0","","0"
